dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,result_source,reused_from_path,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,95,0.73,0.27,0.7684210526315789,0.23157894736842105,0.05,0.95,0.7765996551513672,2.0764604663848876,0.72
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.6433333333333333,0.3566666666666667,0.6428571428571429,0.35714285714285715,0.3571702742576599,0.65,0.0,0.0,0.0,0.0,0.0,0.0,,,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,300,294,0.6433333333333333,0.3566666666666667,0.6428571428571429,0.35714285714285715,0.02,0.98,0.3571702742576599,2.0978387928009035,0.65
explicit_test,mm,steer_long_term,24,2.0,2.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,0.0,0.0,0.008174692049272125,-0.008174692049272125,0.001786779761314361,0.0,0.73,0.776595744680851,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,94,0.73,0.27,0.776595744680851,0.22340425531914893,0.06,0.94,0.7783864349126816,2.0837601375579835,0.72
explicit_test,mm,steer_immediate,24,2.0,-2.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,0.0,0.0,0.0,0.0,-0.0016729193925857366,0.0,0.27,0.23157894736842105,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,95,0.73,0.27,0.7684210526315789,0.23157894736842105,0.05,0.95,0.7749267357587815,2.0688531494140623,0.72
explicit_test,mm,steer_long_term,24,4.0,4.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,-0.010000000000000009,0.010000000000000009,-0.00246360582306826,0.0024636058230683155,0.0037414360046386097,0.0,0.72,0.7659574468085106,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,94,0.72,0.28,0.7659574468085106,0.23404255319148937,0.06,0.94,0.7803410911560058,2.0920674419403076,0.72
explicit_test,mm,steer_immediate,24,4.0,-4.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,-0.020000000000000018,0.019999999999999962,-0.021052631578947323,0.02105263157894738,-0.003749526143074,0.0,0.29,0.25263157894736843,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,95,0.71,0.29,0.7473684210526316,0.25263157894736843,0.05,0.95,0.7728501290082932,2.0608623456954955,0.72
explicit_test,mm,steer_long_term,24,8.0,8.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,-0.010000000000000009,0.010000000000000009,-0.00246360582306826,0.0024636058230683155,0.007807930111885075,0.0,0.72,0.7659574468085106,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,94,0.72,0.28,0.7659574468085106,0.23404255319148937,0.06,0.94,0.7844075852632523,2.109856286048889,0.72
explicit_test,mm,steer_immediate,24,8.0,-8.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,-0.020000000000000018,0.019999999999999962,-0.021052631578947323,0.02105263157894738,-0.007810775041580231,0.0,0.29,0.25263157894736843,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,95,0.71,0.29,0.7473684210526316,0.25263157894736843,0.05,0.95,0.768788880109787,2.043550443649292,0.72
explicit_test,mm,steer_long_term,24,16.0,16.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,-0.010000000000000009,0.010000000000000009,0.0033180778032037006,-0.003318077803203673,0.012722126841545056,-0.010000000000000009,0.72,0.7717391304347826,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,92,0.72,0.28,0.7717391304347826,0.22826086956521738,0.08,0.92,0.7893217819929123,2.132781119346619,0.71
explicit_test,mm,steer_immediate,24,16.0,-16.0,46.8170051574707,1.0,0.73,0.27,0.7684210526315789,0.23157894736842105,0.7765996551513672,0.72,-0.030000000000000027,0.02999999999999997,-0.03157894736842104,0.03157894736842104,-0.016530342102050843,0.0,0.3,0.2631578947368421,reused_existing,/workspace/results/qwen3_32b/probe_artifact_steering_question_options_answer_vast/20260410-102655/mmraz_qwen3_32b_probe_artifact_steering_question_options_answer_logs_20260410-102655.csv,100,95,0.7,0.3,0.7368421052631579,0.2631578947368421,0.05,0.95,0.7600693130493164,2.0071355533599853,0.72
