layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,attn,LogisticRegression(attention-summary),0.575,0.06123724356957945,0.45,80,20,224
1,attn,LogisticRegression(attention-summary),0.6375,0.16488632447841148,0.5,80,20,224
2,attn,LogisticRegression(attention-summary),0.5125,0.09185586535436918,0.55,80,20,224
3,attn,LogisticRegression(attention-summary),0.6,0.049999999999999996,0.65,80,20,224
4,attn,LogisticRegression(attention-summary),0.525,0.03061862178478973,0.55,80,20,224
5,attn,LogisticRegression(attention-summary),0.6,0.09354143466934853,0.7,80,20,224
6,attn,LogisticRegression(attention-summary),0.6,0.1015504800579495,0.5,80,20,224
7,attn,LogisticRegression(attention-summary),0.625,0.09682458365518543,0.55,80,20,224
8,attn,LogisticRegression(attention-summary),0.525,0.1224744871391589,0.75,80,20,224
9,attn,LogisticRegression(attention-summary),0.425,0.06123724356957945,0.5,80,20,224
10,attn,LogisticRegression(attention-summary),0.5375,0.06373774391990981,0.5,80,20,224
11,attn,LogisticRegression(attention-summary),0.55,0.12119199643540823,0.5,80,20,224
12,attn,LogisticRegression(attention-summary),0.5625,0.08838834764831845,0.65,80,20,224
13,attn,LogisticRegression(attention-summary),0.575,0.046770717334674264,0.65,80,20,224
14,attn,LogisticRegression(attention-summary),0.7,0.1,0.55,80,20,224
15,attn,LogisticRegression(attention-summary),0.575,0.04677071733467427,0.65,80,20,224
16,attn,LogisticRegression(attention-summary),0.6375,0.09185586535436918,0.5,80,20,224
17,attn,LogisticRegression(attention-summary),0.675,0.1446979612848778,0.7,80,20,224
18,attn,LogisticRegression(attention-summary),0.65,0.1015504800579495,0.55,80,20,224
19,attn,LogisticRegression(attention-summary),0.55,0.09185586535436918,0.55,80,20,224
20,attn,LogisticRegression(attention-summary),0.5875,0.049999999999999996,0.65,80,20,224
21,attn,LogisticRegression(attention-summary),0.55,0.06123724356957946,0.55,80,20,224
22,attn,LogisticRegression(attention-summary),0.5625,0.10458250331675945,0.7,80,20,224
23,attn,LogisticRegression(attention-summary),0.6,0.0637377439199098,0.55,80,20,224
24,attn,LogisticRegression(attention-summary),0.575,0.10752906583803283,0.5,80,20,224
25,attn,LogisticRegression(attention-summary),0.5625,0.08838834764831845,0.65,80,20,224
26,attn,LogisticRegression(attention-summary),0.575,0.09185586535436918,0.55,80,20,224
27,attn,LogisticRegression(attention-summary),0.6,0.1015504800579495,0.6,80,20,224
28,attn,LogisticRegression(attention-summary),0.55,0.10752906583803283,0.5,80,20,224
29,attn,LogisticRegression(attention-summary),0.55,0.08291561975888499,0.5,80,20,224
30,attn,LogisticRegression(attention-summary),0.5625,0.11858541225631422,0.6,80,20,224
31,attn,LogisticRegression(attention-summary),0.7,0.046770717334674264,0.65,80,20,224
