layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,attn,LogisticRegression(attention-summary),0.575,0.07288689868556626,0.5,80,20,168
1,attn,LogisticRegression(attention-summary),0.525,0.0637377439199098,0.5,80,20,168
2,attn,LogisticRegression(attention-summary),0.4625,0.05,0.5,80,20,168
3,attn,LogisticRegression(attention-summary),0.6625,0.0637377439199098,0.7,80,20,168
4,attn,LogisticRegression(attention-summary),0.6625,0.0637377439199098,0.6,80,20,168
5,attn,LogisticRegression(attention-summary),0.575,0.082915619758885,0.5,80,20,168
6,attn,LogisticRegression(attention-summary),0.5375,0.08477912478906585,0.6,80,20,168
7,attn,LogisticRegression(attention-summary),0.575,0.08291561975888499,0.5,80,20,168
8,attn,LogisticRegression(attention-summary),0.45,0.082915619758885,0.35,80,20,168
9,attn,LogisticRegression(attention-summary),0.475,0.08477912478906585,0.5,80,20,168
10,attn,LogisticRegression(attention-summary),0.5875,0.049999999999999996,0.6,80,20,168
11,attn,LogisticRegression(attention-summary),0.6875,0.09682458365518543,0.45,80,20,168
12,attn,LogisticRegression(attention-summary),0.575,0.10752906583803283,0.6,80,20,168
13,attn,LogisticRegression(attention-summary),0.7125,0.06373774391990981,0.6,80,20,168
14,attn,LogisticRegression(attention-summary),0.4875,0.07288689868556625,0.55,80,20,168
15,attn,LogisticRegression(attention-summary),0.5875,0.09354143466934853,0.4,80,20,168
16,attn,LogisticRegression(attention-summary),0.6125,0.09185586535436918,0.65,80,20,168
17,attn,LogisticRegression(attention-summary),0.625,0.08838834764831845,0.45,80,20,168
18,attn,LogisticRegression(attention-summary),0.4875,0.12119199643540823,0.75,80,20,168
19,attn,LogisticRegression(attention-summary),0.5,0.10458250331675945,0.7,80,20,168
20,attn,LogisticRegression(attention-summary),0.525,0.0637377439199098,0.75,80,20,168
21,attn,LogisticRegression(attention-summary),0.575,0.1334634781503914,0.65,80,20,168
22,attn,LogisticRegression(attention-summary),0.4875,0.1,0.65,80,20,168
23,attn,LogisticRegression(attention-summary),0.5,0.13693063937629152,0.45,80,20,168
24,attn,LogisticRegression(attention-summary),0.5625,0.13693063937629152,0.55,80,20,168
25,attn,LogisticRegression(attention-summary),0.725,0.1015504800579495,0.65,80,20,168
26,attn,LogisticRegression(attention-summary),0.5875,0.1403121520040228,0.55,80,20,168
27,attn,LogisticRegression(attention-summary),0.55,0.10752906583803283,0.5,80,20,168
