model,domain,predicted_gap,n_examples,n_classes,chance,bag_of_words_acc,best_layer,best_resolver,best_probe_type,target_acc,max_earlier_acc,headline_gap_pp,bootstrap_gap_pp,bootstrap_ci_lo_pp,bootstrap_ci_hi_pp,p_gap_positive,observed_sign,pre_reg_matches,ablation_zero_drop_pp,ablation_mean_drop_pp,elapsed_seconds
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,16,last_token,linear,0.9269850514463212,0.8048145991069695,12.217045233935163,11.73111913933836,5.99377821335234,17.664120896977575,1.0,strong_positive,False,65.47272374296253,65.67074354494274,759.0
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,0,colon,linear,0.741720054358377,0.6390797903319744,10.264026402640258,9.27258125575664,2.624345549738217,15.942361224823964,0.996,strong_positive,False,48.526499708794404,47.93438167346146,396.33
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,4,colon,linear,0.8855756163851678,0.7614832071442438,12.409240924092401,10.497605205673457,4.20825136460614,17.073274846914742,1.0,strong_positive,False,62.12191807416034,61.52785866821975,748.79
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,16,last_token,linear,0.9269850514463212,0.8048145991069695,12.217045233935163,11.73111913933836,5.99377821335234,17.664120896977575,1.0,strong_positive,False,65.47272374296253,65.67074354494274,754.11
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,16,last_token,linear,0.9191419141914192,0.7950689186565715,12.407299553484775,12.851636204786235,7.417460317460317,19.367483811285837,1.0,strong_positive,False,65.28052805280528,65.08056688021743,885.31
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,12,colon,linear,0.9210832847990682,0.808677926616191,11.240535818287722,10.43407361458573,4.662129510309281,16.71108291032148,1.0,strong_positive,False,65.47466511357018,64.88254707823724,794.63
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,12,newline,linear,0.8737526693845854,0.7573286740438749,11.642399534071046,11.652798058592428,5.361250071876261,17.414715719063548,1.0,strong_positive,False,60.14948553678896,60.54358377014171,691.15
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,12,colon,linear,0.7574063288681808,0.6685886235682392,8.88177052999416,8.616344171195696,2.0197433869856862,15.000900501510072,0.994,strong_positive,False,49.503009124441846,48.7128712871287,604.88
EleutherAI/pythia-1.4b-deduped,code,negative,507,5,0.2,0.7575616385167928,4,last_token,linear,0.8797320908561443,0.755426130848379,12.43059600077654,13.109682489148508,6.875437466752519,19.515363128491618,1.0,strong_positive,False,61.33760434867015,60.747427683944856,889.96
EleutherAI/pythia-1b-deduped,code,negative,507,5,0.2,0.7575616385167928,2,last_token,linear,0.8541059988351776,0.7042127742185984,14.989322461657917,14.38236987911996,7.690426591794221,21.067736515350003,1.0,strong_positive,False,58.778877887788774,58.778877887788774,864.7
EleutherAI/pythia-2.8b-deduped,code,negative,507,5,0.2,0.7575616385167928,0,last_token,linear,0.8246165793049893,0.6884876722966414,13.61289070083479,12.068062176386926,4.958032299192516,18.699682203389827,1.0,strong_positive,False,55.43389633080955,56.027955736750144,844.08
EleutherAI/pythia-410m-deduped,code,negative,507,5,0.2,0.7575616385167928,0,colon,linear,0.8127159774801009,0.6864686468646864,12.624733061541448,13.471461466572823,6.751025530307119,20.169607962872497,1.0,strong_positive,False,54.83401281304601,54.63793438167346,711.98
Qwen/Qwen3-1.7B-Base,code,negative,507,5,0.2,0.7733061541448262,4,colon,linear,0.8796350223257619,0.7692875169869927,11.034750533876913,10.33787447105861,3.899208566108007,17.204301075268813,1.0,strong_positive,False,57.185012618908935,57.97709182682973,283.03
Qwen/Qwen3-8B-Base,code,negative,507,5,0.2,0.7733061541448262,0,colon,linear,0.810541642399534,0.674645699864104,13.589594253542991,13.937429704348133,6.574491082687802,20.65217391304348,1.0,strong_positive,False,50.67171423024654,50.67171423024654,317.69
